ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
Bagging 90,PCA,92.000%,92.002%,92.111%,92.221%,97.596%
Bagging 95,Original Data,89.455%,89.470%,89.536%,89.642%,98.804%
Bagging 95,Normalized Data,87.636%,87.659%,87.659%,87.839%,98.542%
Bagging 95,SelectKBest,91.273%,91.288%,91.348%,91.364%,96.248%
Bagging 95,RFECV,91.273%,91.288%,91.348%,91.364%,96.373%
Bagging 95,PCA,91.636%,91.632%,91.737%,91.909%,97.916%
Bagging 99,Original Data,88.727%,88.735%,88.795%,89.004%,98.785%
Bagging 99,Normalized Data,89.818%,89.863%,89.871%,89.994%,98.753%
Bagging 99,SelectKBest,91.273%,91.288%,91.348%,91.364%,96.534%
Bagging 99,RFECV,91.273%,91.288%,91.348%,91.364%,96.285%
Bagging 99,PCA,92.000%,92.002%,92.111%,92.221%,98.033%
XGBoost 90,Original Data,87.636%,87.653%,87.705%,87.633%,98.617%
XGBoost 90,Normalized Data,87.636%,87.653%,87.705%,87.633%,98.617%
XGBoost 90,SelectKBest,91.636%,91.634%,91.748%,91.856%,97.932%
XGBoost 90,RFECV,91.636%,91.634%,91.748%,91.856%,97.932%
XGBoost 90,PCA,91.636%,91.636%,91.776%,92.014%,97.621%
XGBoost 95,Original Data,87.636%,87.653%,87.705%,87.633%,98.617%
XGBoost 95,Normalized Data,87.636%,87.653%,87.705%,87.633%,98.617%
XGBoost 95,SelectKBest,91.636%,91.634%,91.748%,91.856%,97.932%
XGBoost 95,RFECV,91.636%,91.634%,91.748%,91.856%,97.932%
XGBoost 95,PCA,91.636%,91.636%,91.776%,92.014%,97.621%
XGBoost 99,Original Data,87.636%,87.653%,87.705%,87.633%,98.617%
XGBoost 99,Normalized Data,87.636%,87.653%,87.705%,87.633%,98.617%
XGBoost 99,SelectKBest,91.636%,91.634%,91.748%,91.856%,97.932%
XGBoost 99,RFECV,91.636%,91.634%,91.748%,91.856%,97.932%
XGBoost 99,PCA,91.636%,91.636%,91.776%,92.014%,97.621%
